codigo1,DESCRIPCION_CIEX
D107  ,Tumor Benigno de la Hipofaringe                                                                     
D119  ,Tumor Benigno de la Glandula Salival Mayor - sin otra Especificacion                                 
D123  ,Tumor Benigno del Colon Transverso                                                                  
D125  ,Tumor Benigno del Colon Sigmoide                                                                    
D127  ,Tumor Benigno de la Union Rectosigmoidea                                                            
D132  ,Tumor Benigno del duodeno                                                                           
D135  ,Tumor Benigno de las Vias Biliares Extrahepaticas                                                   
D139  ,Tumor Benigno de Sitios Mal definidos del Sistema digestivo                                         
D159  ,Tumor Benigno de Organo Intratoracico                                                
D160  ,Tumor Benigno del Omoplato y Huesos Largos del Miembro Superior                                     
D161  ,Tumor Benigno de los Huesos Cortos del Miembro Superior                                             
D162  ,Tumor Benigno de los Huesos Largos del Miembro Inferior                                             
D164  ,Tumor Benigno de los Huesos del Craneo y de la Cara                                                 
D165  ,Tumor Benigno del Maxilar Inferior                                                                  
D212  ,Tumor Benigno del Tejido Conjuntivo y de otros Tejidos Blandos del Miembro Inferior - Inc            
D213  ,Tumor Benigno del Tejido Conjuntivo y de otros Tejidos Blandos del Torax                            
D223  ,Nevo Melanocitico de otras partes y de las no Especificadas de la Cara                              
D224  ,Nevo Melanocitico del Cuero Cabelludo y del Cuello                                                  
D236  ,Tumor Benigno de la Piel del Miembro Superior - Incluido el Hombro                                   
D267  ,Tumor Benigno de otras partes Especificadas del Utero                                               
D281  ,Tumor Benigno de la Vagina                                                                          
D282  ,Tumor Benigno de la Trompa de Falopio y de los Ligamentos Uterinos                                  
D289  ,Tumor Benigno de Organo Genital Femenino - Sitio                                      
D291  ,Tumor Benigno de la Prostata                                                                        
D300  ,Tumor Benigno del Rinon                                                                             
D311  ,Tumor Benigno de la Cornea                                                                          
D315  ,Tumor Benigno de las Glandulas y de los Conductos Lagrimales                                        
D316  ,Tumor Benigno de la Orbita - parte no Especificada                                                   
D321  ,Tumor Benigno de las Meninges Raquideas                                                             
D329  ,Tumor Benigno de las Meninges - parte no Especificada                                                
D331  ,Tumor Benigno del Encefalo - Infratentorial                                                          
D332  ,Tumor Benigno del Encefalo - parte no Especificada                                                   
D334  ,Tumor Benigno de la Medula Espinal                                                                  
D350  ,Tumor Benigno de la Glandula Suprarrenal                                                            
D358  ,Tumor Benigno Pluriglandular                                                                        
D369  ,Tumor Benigno de Sitio                                                               
D373  ,Tumor de Comportamiento Incierto o desconocido del Apendice                                         
D377  ,Tumor de Comportamiento Incierto o desconocido de otros Organos digestivos Especificados            
D379  ,Tumor de Comportamiento Incierto o desconocido de Organos digestivos - Sitio no Especific            
D432  ,Tumor de Comportamiento Incierto o desconocido del Encefalo - parte no Especificada                  
D437  ,Tumor de Comportamiento Incierto o desconocido de otras partes Especificadas del Sistema            
D446  ,Tumor de Comportamiento Incierto o desconocido del Cuerpo Carotideo                                 
D449  ,Tumor de Comportamiento Incierto o desconocido de Glandula Endocrina no Especificada                
D466  ,S¡ndrome mielodispl sico con anomal¡a cromos¢mica con del(5q) aislado                               
D477  ,Otros Tumores Especificados de Comportamiento Incierto o desconocido del Tejido Linfatic            
D479  ,Tumores de Comportamiento Incierto o desconocido del Tejido Linfatico - de los Organos He            
D481  ,Tumor de Comportamiento Incierto o desconocido del Tejido Conjuntivo y Otro Tejido Bland            
D484  ,Tumor de Comportamiento Incierto o desconocido del Peritoneo                                        
D550  ,Anemia debida a deficiencia de Glucosa-6-Fosfato deshidrogenasa [G6FD]                              
D572  ,Trastornos Falciformes Heterocigotos dobles                                                         
D613  ,Anemia Aplastica Idiopatica                                                                         
D619  ,Anemia Aplastica - sin otra Especificacion                                                           
D630  ,Anemia en Enfermedad Neoplasica (C00-d48+)                                                          
D638  ,Anemia en otras Enfermedades Cronicas Clasificadas en otra parte                                    
D684  ,Deficiencia Adquirida de Factores de la Coagulacion                                                 
D694  ,Otras Trombocitopenias Primarias                                                                    
D696  ,Trombocitopenia no Especificada                                                                     
D720  ,Anomalias Geneticas de los Leucocitos                                                               
D721  ,Eosinofilia                                                                                         
D734  ,Quiste del Bazo                                                                                     
D863  ,Sarcoidosis de la Piel                                                                              
E012  ,Bocio (Endemico) Relacionado con Deficiencia de Yodo                                
E040  ,Bocio Simple                                                                                        
E048  ,Otros Bocios no Toxicos Especificados                                                               
E051  ,Tirotoxicosis con Nodulo Solitario Tiroideo Toxico                                                  
E054  ,Tirotoxicosis Facticia                                                                              
E055  ,Crisis o Tormenta Tirotoxica                                                                        
E058  ,Otras Tirotoxicosis                                                                                 
E062  ,Tiroiditis Cronica con Tirotoxicosis Transitoria                                                    
E101  ,Diabetes Mellitus Insulinodependiente - con Cetoacidosis                                             
E105  ,Diabetes Mellitus Insulinodependiente - con Complicaciones Circulatorias                             
E106  ,Diabetes Mellitus Insulinodependiente - con otras Complicaciones                                     
E107  ,Diabetes Mellitus Insulinodependiente - con Complicaciones Multiples                                 
E121  ,Diabetes Mellitus Asociada con desnutricion - con Cetoacidosis                                       
E122  ,Diabetes Mellitus Asociada con desnutricion - con Complicaciones Renales                             
E123  ,Diabetes Mellitus Asociada con desnutricion - con Complicaciones Oftalmicas                          
E124  ,Diabetes Mellitus Asociada con desnutricion - con Complicaciones Neurologicas                        
E125  ,Diabetes Mellitus Asociada con desnutricion - con Complicaciones Circulatorias Periferica            
E126  ,Diabetes Mellitus Asociada con desnutricion - con otras Complicaciones Especificadas                 
E127  ,Diabetes Mellitus Asociada con desnutricion - con Complicaciones Multiples                           
E128  ,Diabetes Mellitus Asociada con desnutricion - con Complicaciones no Especificadas                    
E129  ,Diabetes Mellitus Asociada con desnutricion - sin Mencion de Complicacion                            
E132  ,Diabetes Mellitus Especificada - con Complicaciones Renales                                          
E133  ,Diabetes Mellitus Especificada - con Complicaciones Oftalmicas                                       
E137  ,Diabetes Mellitus Especificada - con Complicaciones Multiples                                        
E143  ,Diabetes Mellitus - no Especificada - con Complicaciones Oftalmicas                                   
E210  ,Hiperparatiroidismo Primario                                                                        
E213  ,Hiperparatiroidismo - sin otra Especificacion                                                        
E215  ,Trastorno de la Glandula Paratiroides                                               
E220  ,Acromegalia y Gigantismo Hipofisario                                                                
E232  ,Diabetes Insipida                                                                                   
E237  ,Trastorno de la Glandula Hipofisis                                                  
E242  ,Sindrome de Cushing Inducido por drogas                                                             
E249  ,Sindrome de Cushing                                                                 
E259  ,Trastorno Adrenogenital                                                             
E270  ,Otra Hiperactividad Corticosuprarrenal                                                              
E272  ,Crisis Addisoniana                                                                                  
E273  ,Insuficiencia Corticosuprarrenal Inducida por drogas                                                
E274  ,Otras Insuficiencias Corticosuprarrenales y las no Especificadas                                    
E283  ,Insuficiencia Ovarica Primaria                                                                      
E298  ,Otras disfunciones Testiculares                                                                     
E299  ,Disfuncion Testicular                                                           
E300  ,Pubertad Retardada                                                                                  
E301  ,Pubertad Precoz                                                                                     
E308  ,Otros Trastornos de la Pubertad                                                                     
E319  ,Disfuncion Poliglandular                                                        
E348  ,Otros Trastornos Endocrinos Especificados                                                           
E351  ,Trastornos de las Glandulas Suprarrenales en Enfermedades Clasificadas en otra parte                
E568  ,Deficiencia de otras Vitaminas                                                                      
E619  ,Deficiencia de otro Elemento Nutricional                                            
E670  ,Hipervitaminosis A                                                                                  
E778  ,Otros Trastornos del Metabolismo de las Glucoproteinas                                              
E804  ,Sindrome de Gilbert                                                                                 
E895  ,Hipofuncion Testicular Consecutiva a Procedimientos                                                 
F011  ,Demencia Vascular por Infartos Multiples                                                            
F013  ,Demencia Vascular Mixta - Cortical y Subcortical                                                     
F018  ,Otras Demencias Vasculares                                                                          
F019  ,Demencia Vascular                                                               
F023  ,Demencia en la Enfermedad de Parkinson (G20+)                                                       
F050  ,Delirio no Superpuesto a un Cuadro de demencia - Asi descrito                                        
F065  ,Trastorno Disociativo - Organico                                                                     
F068  ,Otros Trastornos Mentales Especificados debidos a Lesion y disfuncion Cerebral y a Enfer            
F070  ,Trastorno de la Personalidad - Organico                                                              
F105  ,Trastornos Mentales y del Comportamiento debidos al uso de Alcohol - Trastorno Psicotico             
F127  ,Trastornos Mentales y del Comportamiento debidos al uso de Cannabinoides - Trastorno Psic            
F132  ,Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos - Sindro            
F133  ,Trastornos Mentales y del Comportamiento debidos al uso de Sedantes o Hipnoticos - Estado            
F143  ,Trastornos Mentales y del Comportamiento debidos al uso de Cocaina - Estado de Abstinenci            
F161  ,Trastornos Mentales y del Comportamiento debidos al uso de Alucinogenos - uso Nocivo                 
F162  ,Trastornos Mentales y del Comportamiento debidos al uso de Alucinogenos - Sindrome de dep            
F166  ,Trastornos Mentales y del Comportamiento debidos al uso de Alucinogenos - Sindrome Amnesi            
F172  ,Trastornos Mentales y del Comportamiento debidos al uso de Tabaco - Sindrome de dependenc            
F193  ,Trastornos Mentales y del Comportamiento debidos al uso de Multiples Drogas y al uso de             
F195  ,Trastornos Mentales y del Comportamiento debidos al uso de Multiples Drogas y al uso de             
F202  ,Esquizofrenia Catatonica                                                                            
F228  ,Otros Trastornos Delirantes Persistentes                                                            
F229  ,Trastorno delirante Persistente                                                     
F232  ,Trastorno Psicotico Agudo de Tipo Esquizofrenico                                                    
F238  ,Otros Trastornos Psicoticos Agudos y Transitorios                                                   
F258  ,Otros Trastornos Esquizoafectivos                                                                   
F334  ,Trastorno Depresivo Recurrente Actualmente en Remision                                              
F39X  ,Trastorno del Humo sin Especificacion                                                               
F408  ,Otros Trastornos Fobicos de Ansiedad                                                                
F444  ,Trastornos Disociativos del Movimiento                                                              
F453  ,Disfuncion Autonomica Somatomorfa                                                                   
F459  ,Trastorno Somatomorfo                                                               
F509  ,Trastorno de la Ingestion de Alimentos                                              
F515  ,Pesadillas                                                                                          
F523  ,Disfuncion Orgasmica                                                                                
F528  ,Otras Disfunciones Sexuales - no Ocasionadas por Trastorno ni por Enfermedad Organicos               
F605  ,Trastorno Anancastico de la Personalidad                                                            
F649  ,Trastorno de la Identidad de Genero                                                 
F662  ,Trastorno de la Relacion Sexual                                                                     
F730  ,Retraso Mental Profundo - Deterioro del Comportamiento Nulo o Minimo                                 
F791  ,Retraso Mental  - Deterioro del Comportamiento Significativo - que Requier            
F799  ,Retraso Mental  - Deterioro del Comportamiento de Grado               
F802  ,Trastorno de la Recepcion del Lenguaje                                                              
F803  ,Afasia Adquirida con Epilepsia [Landau - Kleffner]                                                  
F812  ,Trastorno Especifico de las Habilidades Aritmeticas                                                 
F813  ,Trastorno Mixto de las Habilidades Escolares                                                        
F841  ,Autismo Atipico                                                                                     
F844  ,Trastorno Hiperactivo Asociado con Retraso Mental y Movimientos Estereotipados                      
F912  ,Trastorno de la Conducta Sociable                                                                   
F929  ,Trastorno Mixto de la Conducta y de las Emociones                                   
F952  ,Trastorno por Tics Motores y Vocales Multiples Combinados [de la Tourette]                          
F958  ,Otros Trastornos por Tics                                                                           
G020  ,Meningitis en Enfermedades Virales Clasificadas en otra parte                                       
G060  ,Absceso y Granuloma Intracraneal                                                                    
G07X  ,Absceso y Granuloma Intracraneal e Intrarraquideo en Enfermedades Clasificadas E                    
G111  ,Ataxia Cerebelosa de Iniciacion Temprana                                                            
G112  ,Ataxia Cerebelosa de Iniciacion Tardia                                                              
G114  ,Paraplejia Espastica Hereditaria                                                                    
G128  ,Otras Atrofias Musculares Espinales y Sindromes Afines                                              
G210  ,Sindrome Neuroleptico Maligno                                                                       
G218  ,Otros Tipos de Parkinsonismo Secundario                                                             
G242  ,Distonia Idiopatica no Familiar                                                                     
G248  ,Otras distonias                                                                                     
G250  ,Temblor Esencial                                                                                    
G255  ,Otras Coreas                                                                                        
G258  ,Otros Trastornos Extrapiramidales y del Movimiento                                                  
G310  ,Atrofia Cerebral Circunscrita                                                                       
G371  ,Desmielinizacion Central del Cuerpo Calloso                                                         
G411  ,Estado de Pequeno Mal Epileptico                                                                    
G419  ,Estado de Mal Epileptico de Tipo                                                     
G444  ,Cefalea Inducida por Drogas - no Clasificada en otra parte                                           
G453  ,Amaurosis Fugaz                                                                                     
G464  ,Sindrome de Infarto Cerebeloso (I60-I67+)                                                           
G473  ,Apnea del Sueno                                                                                     
G513  ,Espasmo Hemifacial Clonico                                                                          
G518  ,Otros Trastornos del Nervio Facial                                                                  
G523  ,Trastornos del Nervio Hipogloso                                                                     
G531  ,Paralisis Multiple de los Nervios Craneales en Enfermedades Infecciosas y Parasitarias C            
G541  ,Trastornos del Plexo Lumbosacro                                                                     
G548  ,Otros Trastornos de las Raices y Plexos Nerviosos                                                   
G551  ,Compresiones de las Raices y Plexos Nerviosos en Trastornos de los discos Intervertebral            
G558  ,Compresiones de las Raices y Plexos Nerviosos en otras Enfermedades Clasificadas en Otra            
G561  ,Otras Lesiones del Nervio Mediano                                                                   
G562  ,Lesion del Nervio Cubital                                                                           
G563  ,Lesion del Nervio Radial                                                                            
G564  ,Causalgia                                                                                           
G569  ,Mononeuropatia del Miembro Superior - sin otra Especificacion                                        
G571  ,Meralgia Parestesica                                                                                
G572  ,Lesion del Nervio Crural                                                                            
G573  ,Lesion del Nervio Ciatico Popliteo Externo                                                          
G603  ,Neuropatia Progresiva Idiopatica                                                                    
G608  ,Otras Neuropatias Hereditarias e Idiopaticas                                                        
G611  ,Neuropatia al Suero                                                                                 
G622  ,Polineuropatia debida a Otro Agente Toxico                                                          
G630  ,Polineuropatia en Enfermedades Infecciosas y Parasitarias Clasificadas en otra parte                
G633  ,Polineuropatia en otras Enfermedades Endocrinas y Metabolicas                                       
G634  ,Polineuropatia en deficiencia Nutricional                                                           
G638  ,Polineuropatia en otras Enfermedades Clasificadas en otra parte                                     
G64X  ,Otros Trastornos del Sistema Nervioso Periferico                                                    
G701  ,Trastornos Toxicos Neuromusculares                                                                  
G702  ,Miastenia Congenita o del desarrollo                                                                
G711  ,Trastornos Miotonicos                                                                               
G712  ,Miopatias Congenitas                                                                                
G724  ,Miopatia Inflamatoria - no Clasificada en otra parte                                                 
G801  ,Par lisis cerebral Esp stica displ‚jica                                                             
G803  ,Paralisis Cerebral discinetica                                                                      
G804  ,Paralisis Cerebral Ataxica                                                                          
G825  ,Cuadriplejia                                                                    
G830  ,Diplejia de los Miembros Superiores                                                                 
G831  ,Monoplejia de Miembro Inferior                                                                      
G832  ,Monoplejia de Miembro Superior                                                                      
G833  ,Monoplejia                                                                      
G838  ,Otros Sindromes Paraliticos Especificados                                                           
G839  ,Sindrome Paralitico                                                                 
G901  ,Disautonomia Familiar [Sindrome de Riley-day]                                                       
G912  ,Hidrocefalo de Presion Normal                                                                       
G960  ,Perdida de Liquido Cefalorraquideo                                                                  
G998  ,Otros Trastornos Especificados del Sistema Nervioso en Enfermedades Clasificadas en Otra            
H018  ,Otras Inflamaciones Especificadas del Parpado                                                       
H020  ,Entropion y Triquiasis Palpebral                                                                    
H022  ,Lagoftalmos                                                                                         
H024  ,Blefaroptosis                                                                                       
H025  ,Otros Trastornos Funcionales del Parpado                                                            
H029  ,Trastorno del Parpado                                                               
H038  ,Compromiso del Parpado en Enfermedades Clasificadas en otra parte                                   
H046  ,Otros Cambios de las Vias Lagrimales                                                                
H051  ,Trastornos Inflamatorios Cronicos de la Orbita                                                      
H058  ,Otros Trastornos de la Orbita                                                                       
H059  ,Trastorno de la Orbita                                                              
H060  ,Trastornos del Aparato Lagrimal en Enfermedades Clasificadas en otra parte                          
H061  ,Infeccion e Infestacion Parasitarias de la Orbita en Enfermedades Clasificadas en otra P            
H105  ,Blefaroconjuntivitis                                                                                
H111  ,Degeneraciones y Depositos Conjuntivales                                                            
H118  ,Otros Trastornos Especificados de la Conjuntiva                                                     
H133  ,Penfigoide Ocular (L12.-+)                                                                          
H138  ,Otros Trastornos de la Conjuntiva en Enfermedades Clasificadas en otra parte                        
H150  ,Escleritis                                                                                          
H161  ,Otras Queratitis Superficiales sin Conjuntivitis                                                    
H170  ,Leucoma Adherente                                                                                   
H181  ,Queratopatia Vesicular                                                                              
H185  ,Distrofia Hereditaria de la Cornea                                                                  
H191  ,Queratitis y Queratoconjuntivitis por Herpes Simple (B00.5+)                                        
H208  ,Otras Iridociclitis Especificadas                                                                   
H210  ,Hifema                                                                                              
H252  ,Catarata Senil - Tipo Morgagnian                                                                     
H260  ,Catarata Infantil - Juvenil y Presenil                                                               
H264  ,Catarata Residual                                                                                   
H268  ,Otras Formas Especificadas de Catarata                                                              
H270  ,Afaquia                                                                                             
H278  ,Otros Trastornos Especificados del Cristalino                                                       
H279  ,Trastorno del Cristalino                                                            
H318  ,Otros Trastornos Especificados de la Coroides                                                       
H334  ,Desprendimiento de la Retina por Traccion                                                           
H351  ,Retinopatia de la Prematuridad                                                                      
H353  ,Degeneracion de la Macula y del Polo Posterior del Ojo                                              
H359  ,Trastorno de la Retina                                                              
H405  ,Glaucoma Secundario a otros Trastornos del Ojo                                                      
H406  ,Glaucoma Secundario a drogas                                                                        
H408  ,Otros Glaucomas                                                                                     
H439  ,Trastorno del Cuerpo Vitreo                                                         
H446  ,Retencion Intraocular de Cuerpo Extrano Magnetico (Antiguo)                                         
H450  ,Hemorragia del Vitreo en Enfermedades Clasificadas en otra parte                                    
H458  ,Otros Trastornos del Cuerpo Vitreo y del Globo Ocular en Enfermedades Clasificadas en Ot            
H470  ,Trastornos del Nervio Optico - no Clasificados en otra parte                                         
H475  ,Trastornos de otras Vias Opticas                                                                    
H477  ,Trastorno de las Vias Opticas                                                       
H480  ,Atrofia Optica en Enfermedades Clasificadas en otra parte                                           
H490  ,Paralisis del Nervio Motor Ocular Comun [III Par]                                                   
H502  ,Estrabismo Vertical                                                                                 
H506  ,Estrabismo Mecanico                                                                                 
H508  ,Otros Estrabismos Especificados                                                                     
H510  ,Paralisis de la Conjugacion de la Mirada                                                            
H511  ,Exceso e Insuficiencia de la Convergencia Ocular                                                    
H523  ,Anisometropia y Aniseiconia                                                                         
H526  ,Otros Trastornos de la Refraccion                                                                   
H532  ,Diplopia                                                                                            
H533  ,Otros Trastornos de la Vision Binocular                                                             
H581  ,Alteraciones de la Vision en Enfermedades Clasificadas en otra parte                                
H590  ,Sindrome Vitreo Consecutivo a Cirugia de Catarata                                                   
H598  ,Otros Trastornos del Ojo y sus Anexos - Consecutivos a Procedimientos                                
H608  ,Otras Otitis Externas                                                                               
H618  ,Otros Trastornos Especificados del Oido Externo                                                     
H622  ,Otitis Externa en Micosis                                                                           
H661  ,Otitis Media Tubotimpanica Supurativa Cronica                                                       
H700  ,Mastoiditis Aguda                                                                                   
H740  ,Timpanosclerosis                                                                                    
H839  ,Trastorno del Oido Interno                                                          
H910  ,Hipoacusia Ototoxica                                                                                
H911  ,Presbiacusia                                                                                        
H930  ,Trastornos Degenerativos y Vasculares del Oido                                                      
H939  ,Trastorno del Oido                                                                  
H940  ,Neuritis del Nervio Auditivo en Enfermedades Infecciosas y Parasitarias Clasificadas en             
I050  ,Estenosis Mitral                                                                                    
I051  ,Insuficiencia Mitral Reumatica                                                                      
I052  ,Estenosis Mitral con Insuficiencia                                                                  
I060  ,Estenosis Aortica Reumatica                                                                         
I061  ,Insuficiencia Aortica Reumatica                                                                     
I062  ,Estenosis Aortica Reumatica con Insuficiencia                                                       
I069  ,Enfermedad Valvular Aortica Reumatica                                           
I080  ,Trastornos de las Valvulas Mitral y Aortica                                                         
I088  ,Otras Enfermedades de Multiples Valvulas                                                            
I131  ,Enfermedad Cardiorrenal Hipertensiva con Insuficiencia Renal                                        
I151  ,Hipertension Secundaria a otros Trastornos Renales                                                  
I152  ,Hipertension Secundaria a Trastornos Endocrinos                                                     
I211  ,Infarto Transmural Agudo del Miocardio de la Pared Inferior                                         
I221  ,Infarto Subsecuente del Miocardio de la Pared Inferior                                              
I228  ,Infarto Subsecuente del Miocardio de otros Sitios                                                   
I229  ,Infarto Subsecuente del Miocardio - de parte no Especificada                                         
I251  ,Enfermedad Aterosclerotica del Corazon                                                              
I252  ,Infarto Antiguo del Miocardio                                                                       
I255  ,Cardiomiopatia Isquemica                                                                            
I256  ,Isquemia Silente del Miocardio                                                                      
I313  ,Derrame Pericardico (No Inflamatorio)                                                               
I341  ,Prolapso (de la Valvula) Mitral                                                                     
I342  ,Estenosis (de la Valvula) Mitral - no Reumatica                                                      
I350  ,Estenosis (de la Valvula) Aortica                                                                   
I352  ,Estenosis (de la Valvula) Aortica con Insuficiencia                                                 
I361  ,Insuficiencia no Reumatica (de la Valvula) Tricuspide                                               
I440  ,Bloqueo Auriculoventricular de Primer Grado                                                         
I441  ,Bloqueo Auriculoventricular de Segundo Grado                                                        
I442  ,Bloqueo Auriculoventricular Completo                                                                
I444  ,Bloqueo Fascicular Anterior Izquierdo                                                               
I446  ,Otros Tipos de Bloqueo Fascicular y los s                                            
I447  ,Bloqueo de Rama Izquierda del Haz - sin otra Especificacion                                          
I450  ,Bloqueo Fascicular derecho                                                                          
I451  ,Otros Tipos de Bloqueo de Rama derecha del Haz y los s                               
I452  ,Bloqueo Bifascicular                                                                                
I455  ,Otros Tipos Especificados de Bloqueo del Corazon                                                    
I456  ,Sindrome de Preexcitacion                                                                           
I490  ,Fibrilacion y Aleteo Ventricular                                                                    
I491  ,Despolarizacion Auricular Prematura                                                                 
I493  ,Despolarizacion Ventricular Prematura                                                               
I495  ,Sindrome del Seno Enfermo                                                                           
I501  ,Insuficiencia Ventricular Izquierda                                                                 
I607  ,Hemorragia Subaracnoidea de Arteria Intracraneal no Especificada                                    
I612  ,Hemorragia Intracerebral en Hemisferio                                          
I615  ,Hemorragia Intraencefalica - Intraventricular                                                        
I618  ,Otras Hemorragias Intraencefalicas                                                                  
I620  ,Hemorragia Subdural (Aguda) (No Traumatica)                                                         
I629  ,Hemorragia Intracraneal (No Traumatica)                                         
I630  ,Infarto Cerebral debido a Trombosis de Arterias Precerebrales                                       
I632  ,Infarto Cerebral debido a Oclusion o Estenosis no Especificada de Arterias Precerebrales            
I633  ,Infarto Cerebral debido a Trombosis de Arterias Cerebrales                                          
I634  ,Infarto Cerebral debido a Embolia de Arterias Cerebrales                                            
I635  ,Infarto Cerebral debido a Oclusion o Estenosis no Especificada de Arterias Cerebrales               
I636  ,Infarto Cerebral debido a Trombosis de Venas Cerebrales - no Piogeno                                 
I639  ,Infarto Cerebral                                                                    
I659  ,Oclusion y Estenosis de Arteria Precerebral no Especificada                                         
I661  ,Oclusion y Estenosis de la Arteria Cerebral Anterior                                                
I664  ,Oclusion y Estenosis Multiple Bilateral de Arterias Cerebrales                                      
I669  ,Oclusion y Estenosis de Arteria Cerebral no Especificada                                            
I670  ,Diseccion de Arterias Cerebrales - sin Ruptura                                                       
I672  ,Aterosclerosis Cerebral                                                                             
I678  ,Otras Enfermedades Cerebrovasculares Especificadas                                                  
I680  ,Angiopatia Cerebral Amiloide (E85.-+)                                                               
I682  ,Arteritis Cerebral en otras Enfermedades Clasificadas en otra parte                                 
I688  ,Otros Trastornos Cerebrovasculares en Enfermedades Clasificadas en otra parte                       
I690  ,Secuelas de Hemorragia Subaracnoidea                                                                
I692  ,Secuelas de otras Hemorragias Intracraneales no Traumaticas                                         
I693  ,Secuelas de Infarto Cerebral                                                                        
I702  ,Aterosclerosis de las Arterias de los Miembros                                                      
I708  ,Aterosclerosis de otras Arterias                                                                    
I709  ,Aterosclerosis Generalizada y la no Especificada                                                    
I711  ,Ruptura de Aneurisma de la Aorta Toracica                                                           
I712  ,Aneurisma de la Aorta Toracica - sin Mencion de Ruptura                                              
I714  ,Aneurisma de la Aorta Abdominal - sin Mencion de Ruptura                                             
I729  ,Aneurisma y disecci¢n de Sitio                                                       
I730  ,Sindrome de Raynaud                                                                                 
I743  ,Embolia y Trombosis de Arterias de los Miembros Inferiores                                          
I748  ,Embolia y Trombosis de otras Arterias                                                               
I773  ,Displasia Fibromuscular Arterial                                                                    
I803  ,Flebitis y Tromboflebitis de los Miembros Inferiores                            
I808  ,Flebitis y Tromboflebitis de otros Sitios                                                           
I828  ,Embolia y Trombosis de otras Venas Especificadas                                                    
I832  ,Venas Varicosas de los Miembros Inferiores con Ulcera e Inflamacion                                 
I840  ,Hemorroides Internas Trombosadas                                                                    
I864  ,Varices Gastricas                                                                                   
I878  ,Otros Trastornos Venosos Especificados                                                              
I881  ,Linfadenitis Cronica - Excepto la Mesenterica                                                        
I898  ,Otros Trastornos Especificados no Infecciosos de los Vasos y Ganglios Linfaticos                    
J150  ,Neumonia debida a Klebsiella Pneumoniae                                                             
J157  ,Neumonia debida a Mycoplasma Pneumoniae                                                             
J160  ,Neumonia debida a Clamidias                                                                         
J178  ,Neumonia en otras Enfermedades Clasificadas en otra parte                                           
J206  ,Bronquitis Aguda debida a Rinovirus                                                                 
J211  ,Bronquiolitis aguda debida a metapneumovirus humano                                                 
J322  ,Sinusitis Etmoidal Cronica                                                                          
J341  ,Quiste y Mucocele de Seno Paranasal                                                                 
J438  ,Otros Tipos de Enfisema                                                                             
J60X  ,Neumoconiosis de los Mineros del Carbon                                                             
J630  ,Aluminosis (del Pulmon)                                                                             
J631  ,Fibrosis (del Pulmon) debida a Bauxita                                                              
J638  ,Neumoconiosis debida a otros Polvos Inorganicos Especificados                                       
J64X  ,Neumoconiosis                                                                   
J679  ,Neumonitis debida a Hipersensibilidad a Polvo Organico                               
J840  ,Afecciones Alveolares y Alveoloparietales                                                           
J851  ,Absceso del Pulmon con Neumonia                                                                     
J91X  ,Derrame Pleural en Afecciones Clasificadas en otra parte                                            
J929  ,Paquipleuritis sin Asbestosis                                                                       
J942  ,Hemotorax                                                                                           
J961  ,Insuficiencia Respiratoria Cronica                                                                  
K039  ,Enfermedad no Especificada de los Tejidos dentales duros                                            
K070  ,Anomalias Evidentes del Tamano de los Maxilares                                                     
K071  ,Anomalias de la Relacion Maxilobasilar                                                              
K089  ,Trastorno de los dientes y de sus Estructuras de Sosten                             
K092  ,Otros Quistes de los Maxilares                                                                      
K101  ,Granuloma Central de Celulas Gigantes                                                               
K115  ,Sialolitiasis                                                                                       
K117  ,Alteraciones de la Secrecion Salival                                                                
